excluded_image_file,corresponding_label_file
00070_frame_0.jpg,00070_frame_0.txt
00070_frame_1008.jpg,00070_frame_1008.txt
00070_frame_1020.jpg,00070_frame_1020.txt
00070_frame_1032.jpg,00070_frame_1032.txt
00070_frame_108.jpg,00070_frame_108.txt
00070_frame_12.jpg,00070_frame_12.txt
00070_frame_120.jpg,00070_frame_120.txt
00070_frame_144.jpg,00070_frame_144.txt
00070_frame_156.jpg,00070_frame_156.txt
00070_frame_168.jpg,00070_frame_168.txt
00070_frame_180.jpg,00070_frame_180.txt
00070_frame_192.jpg,00070_frame_192.txt
00070_frame_204.jpg,00070_frame_204.txt
00070_frame_216.jpg,00070_frame_216.txt
00070_frame_228.jpg,00070_frame_228.txt
00070_frame_24.jpg,00070_frame_24.txt
00070_frame_240.jpg,00070_frame_240.txt
00070_frame_252.jpg,00070_frame_252.txt
00070_frame_264.jpg,00070_frame_264.txt
00070_frame_276.jpg,00070_frame_276.txt
00070_frame_288.jpg,00070_frame_288.txt
00070_frame_300.jpg,00070_frame_300.txt
00070_frame_312.jpg,00070_frame_312.txt
00070_frame_324.jpg,00070_frame_324.txt
00070_frame_336.jpg,00070_frame_336.txt
00070_frame_348.jpg,00070_frame_348.txt
00070_frame_36.jpg,00070_frame_36.txt
00070_frame_360.jpg,00070_frame_360.txt
00070_frame_372.jpg,00070_frame_372.txt
00070_frame_384.jpg,00070_frame_384.txt
00070_frame_396.jpg,00070_frame_396.txt
00070_frame_408.jpg,00070_frame_408.txt
00070_frame_420.jpg,00070_frame_420.txt
00070_frame_432.jpg,00070_frame_432.txt
00070_frame_444.jpg,00070_frame_444.txt
00070_frame_468.jpg,00070_frame_468.txt
00070_frame_48.jpg,00070_frame_48.txt
00070_frame_492.jpg,00070_frame_492.txt
00070_frame_516.jpg,00070_frame_516.txt
00070_frame_528.jpg,00070_frame_528.txt
00070_frame_540.jpg,00070_frame_540.txt
00070_frame_552.jpg,00070_frame_552.txt
00070_frame_564.jpg,00070_frame_564.txt
00070_frame_576.jpg,00070_frame_576.txt
00070_frame_60.jpg,00070_frame_60.txt
00070_frame_600.jpg,00070_frame_600.txt
00070_frame_612.jpg,00070_frame_612.txt
00070_frame_624.jpg,00070_frame_624.txt
00070_frame_648.jpg,00070_frame_648.txt
00070_frame_660.jpg,00070_frame_660.txt
00070_frame_672.jpg,00070_frame_672.txt
00070_frame_684.jpg,00070_frame_684.txt
00070_frame_708.jpg,00070_frame_708.txt
00070_frame_72.jpg,00070_frame_72.txt
00070_frame_732.jpg,00070_frame_732.txt
00070_frame_744.jpg,00070_frame_744.txt
00070_frame_756.jpg,00070_frame_756.txt
00070_frame_768.jpg,00070_frame_768.txt
00070_frame_780.jpg,00070_frame_780.txt
00070_frame_792.jpg,00070_frame_792.txt
00070_frame_816.jpg,00070_frame_816.txt
00070_frame_84.jpg,00070_frame_84.txt
00070_frame_840.jpg,00070_frame_840.txt
00070_frame_852.jpg,00070_frame_852.txt
00070_frame_864.jpg,00070_frame_864.txt
00070_frame_876.jpg,00070_frame_876.txt
00070_frame_888.jpg,00070_frame_888.txt
00070_frame_900.jpg,00070_frame_900.txt
00070_frame_912.jpg,00070_frame_912.txt
00070_frame_924.jpg,00070_frame_924.txt
00070_frame_936.jpg,00070_frame_936.txt
00070_frame_948.jpg,00070_frame_948.txt
00070_frame_96.jpg,00070_frame_96.txt
00070_frame_960.jpg,00070_frame_960.txt
00070_frame_972.jpg,00070_frame_972.txt
00070_frame_984.jpg,00070_frame_984.txt
00070_frame_996.jpg,00070_frame_996.txt
00071_frame_0.jpg,00071_frame_0.txt
00071_frame_1008.jpg,00071_frame_1008.txt
00071_frame_1020.jpg,00071_frame_1020.txt
00071_frame_1032.jpg,00071_frame_1032.txt
00071_frame_1044.jpg,00071_frame_1044.txt
00071_frame_1056.jpg,00071_frame_1056.txt
00071_frame_1068.jpg,00071_frame_1068.txt
00071_frame_108.jpg,00071_frame_108.txt
00071_frame_1092.jpg,00071_frame_1092.txt
00071_frame_1104.jpg,00071_frame_1104.txt
00071_frame_1116.jpg,00071_frame_1116.txt
00071_frame_1128.jpg,00071_frame_1128.txt
00071_frame_1140.jpg,00071_frame_1140.txt
00071_frame_1152.jpg,00071_frame_1152.txt
