image_file,label_file
00056_frame_168.jpg,00056_frame_168.txt
00075_frame_936.jpg,00075_frame_936.txt
00085_frame_180.jpg,00085_frame_180.txt
00085_frame_48.jpg,00085_frame_48.txt
00109_frame_276.jpg,00109_frame_276.txt
C0107_frame_1150.jpg,C0107_frame_1150.txt
00055_frame_0.jpg,00055_frame_0.txt
C0122_frame_1325.jpg,C0122_frame_1325.txt
00066_frame_684.jpg,00066_frame_684.txt
00090_frame_492.jpg,00090_frame_492.txt
00097_frame_660.jpg,00097_frame_660.txt
00088_frame_132.jpg,00088_frame_132.txt
00081_frame_12.jpg,00081_frame_12.txt
C0091_frame_1125.jpg,C0091_frame_1125.txt
00088_frame_612.jpg,00088_frame_612.txt
00087_frame_456.jpg,00087_frame_456.txt
C0103_frame_1100.jpg,C0103_frame_1100.txt
C0067_frame_600.jpg,C0067_frame_600.txt
C0087_frame_75.jpg,C0087_frame_75.txt
C0083_frame_925.jpg,C0083_frame_925.txt
00084_frame_348.jpg,00084_frame_348.txt
C0076_frame_1150.jpg,C0076_frame_1150.txt
C0086_frame_50.jpg,C0086_frame_50.txt
00088_frame_960.jpg,00088_frame_960.txt
00081_frame_60.jpg,00081_frame_60.txt
00068_frame_360.jpg,00068_frame_360.txt
00045_frame_156.jpg,00045_frame_156.txt
00097_frame_480.jpg,00097_frame_480.txt
00050_frame_48.jpg,00050_frame_48.txt
00055_frame_312.jpg,00055_frame_312.txt
00074_frame_72.jpg,00074_frame_72.txt
C0095_frame_725.jpg,C0095_frame_725.txt
00054_frame_204.jpg,00054_frame_204.txt
00081_frame_804.jpg,00081_frame_804.txt
00046_frame_168.jpg,00046_frame_168.txt
C0095_frame_2850.jpg,C0095_frame_2850.txt
00111_frame_540.jpg,00111_frame_540.txt
00084_frame_336.jpg,00084_frame_336.txt
00111_frame_336.jpg,00111_frame_336.txt
00075_frame_744.jpg,00075_frame_744.txt
00066_frame_288.jpg,00066_frame_288.txt
00079_frame_528.jpg,00079_frame_528.txt
00069_frame_156.jpg,00069_frame_156.txt
00077_frame_468.jpg,00077_frame_468.txt
00077_frame_684.jpg,00077_frame_684.txt
C0095_frame_1225.jpg,C0095_frame_1225.txt
00078_frame_480.jpg,00078_frame_480.txt
C0073_frame_425.jpg,C0073_frame_425.txt
00085_frame_84.jpg,00085_frame_84.txt
00098_frame_336.jpg,00098_frame_336.txt
00050_frame_372.jpg,00050_frame_372.txt
00117_frame_636.jpg,00117_frame_636.txt
00077_frame_264.jpg,00077_frame_264.txt
00052_frame_24.jpg,00052_frame_24.txt
00088_frame_204.jpg,00088_frame_204.txt
00087_frame_228.jpg,00087_frame_228.txt
00075_frame_156.jpg,00075_frame_156.txt
00074_frame_720.jpg,00074_frame_720.txt
00082_frame_12.jpg,00082_frame_12.txt
00058_frame_72.jpg,00058_frame_72.txt
00109_frame_228.jpg,00109_frame_228.txt
00115_frame_432.jpg,00115_frame_432.txt
00117_frame_204.jpg,00117_frame_204.txt
00088_frame_732.jpg,00088_frame_732.txt
00075_frame_540.jpg,00075_frame_540.txt
00046_frame_540.jpg,00046_frame_540.txt
C0103_frame_175.jpg,C0103_frame_175.txt
00116_frame_12.jpg,00116_frame_12.txt
00078_frame_312.jpg,00078_frame_312.txt
00078_frame_12.jpg,00078_frame_12.txt
00083_frame_120.jpg,00083_frame_120.txt
00081_frame_156.jpg,00081_frame_156.txt
00052_frame_48.jpg,00052_frame_48.txt
00079_frame_564.jpg,00079_frame_564.txt
00088_frame_936.jpg,00088_frame_936.txt
00088_frame_1176.jpg,00088_frame_1176.txt
00084_frame_96.jpg,00084_frame_96.txt
00056_frame_12.jpg,00056_frame_12.txt
00081_frame_24.jpg,00081_frame_24.txt
00085_frame_288.jpg,00085_frame_288.txt
C0095_frame_1075.jpg,C0095_frame_1075.txt
C0076_frame_1100.jpg,C0076_frame_1100.txt
00090_frame_468.jpg,00090_frame_468.txt
C0122_frame_100.jpg,C0122_frame_100.txt
00079_frame_552.jpg,00079_frame_552.txt
00086_frame_372.jpg,00086_frame_372.txt
00069_frame_336.jpg,00069_frame_336.txt
C0103_frame_1325.jpg,C0103_frame_1325.txt
00081_frame_1032.jpg,00081_frame_1032.txt
00088_frame_360.jpg,00088_frame_360.txt
00083_frame_96.jpg,00083_frame_96.txt
00085_frame_72.jpg,00085_frame_72.txt
00086_frame_180.jpg,00086_frame_180.txt
C0119_frame_225.jpg,C0119_frame_225.txt
00046_frame_552.jpg,00046_frame_552.txt
00088_frame_684.jpg,00088_frame_684.txt
00066_frame_708.jpg,00066_frame_708.txt
C0083_frame_600.jpg,C0083_frame_600.txt
00057_frame_120.jpg,00057_frame_120.txt
C0096_frame_100.jpg,C0096_frame_100.txt
00048_frame_60.jpg,00048_frame_60.txt
00115_frame_456.jpg,00115_frame_456.txt
00086_frame_348.jpg,00086_frame_348.txt
00110_frame_576.jpg,00110_frame_576.txt
C0123_frame_1100.jpg,C0123_frame_1100.txt
00117_frame_288.jpg,00117_frame_288.txt
00097_frame_684.jpg,00097_frame_684.txt
00081_frame_324.jpg,00081_frame_324.txt
00083_frame_324.jpg,00083_frame_324.txt
00060_frame_12.jpg,00060_frame_12.txt
00084_frame_144.jpg,00084_frame_144.txt
00067_frame_84.jpg,00067_frame_84.txt
00056_frame_240.jpg,00056_frame_240.txt
00097_frame_948.jpg,00097_frame_948.txt
00115_frame_360.jpg,00115_frame_360.txt
00082_frame_0.jpg,00082_frame_0.txt
00111_frame_0.jpg,00111_frame_0.txt
00083_frame_312.jpg,00083_frame_312.txt
00117_frame_0.jpg,00117_frame_0.txt
00087_frame_408.jpg,00087_frame_408.txt
00069_frame_144.jpg,00069_frame_144.txt
00088_frame_252.jpg,00088_frame_252.txt
00079_frame_636.jpg,00079_frame_636.txt
00110_frame_492.jpg,00110_frame_492.txt
00075_frame_516.jpg,00075_frame_516.txt
00087_frame_48.jpg,00087_frame_48.txt
